Course Code,Course Title,Broad Subject,Setting,Credentials Authorizing Course,Notes
7540,Intermediate Family and Human Services (Concentrator),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7541,Advanced Family and Human Services (Capstone),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7600,"Introduction to Energy, Environment, and Utilities","Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7610,Introduction to Environmental Resources,"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7611,Intermediate Environmental Resources (Concentrator),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7612,Advanced Environmental Resources (Capstone),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7620,Introduction to Energy and Power Technology,"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7621,Intermediate Energy and Power Technology (Concentrator),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7622,Advanced Energy and Power Technology (Capstone),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7630,Introduction to Telecommunications,"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7631,Intermediate Telecommunications (Concentrator),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7632,Advanced Telecommunications (Capstone),"Energy, Environment, and Utilities",Career Technical Education,"Full Authorization:CTE: Energy, Environment, and UtilitiesSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
